method,seed,group,counseling,personalization,upload_mb,compute_time_s,peak_gpu_memory_mb
fedavg,42,all,7.0929659863945576,5.858190476190475,35.19283200000006,311.3382225559601,17337.868330078127
fedavg,42,iid,7.136190476190477,5.88,35.19283200000006,311.3382225559601,17337.868330078127
fedavg,42,noniid,7.074441205053449,5.848843537414965,35.19283200000006,311.3382225559601,17337.868330078127
fedavg,99,all,7.046571428571428,5.801333333333334,35.19283200000006,305.48205327985005,17536.385908203127
fedavg,99,iid,7.061904761904763,5.846666666666667,35.19283200000006,305.48205327985005,17536.385908203127
fedavg,99,noniid,7.039999999999999,5.781904761904762,35.19283200000006,305.48205327985005,17536.385908203127
local_only,42,all,7.118884353741498,5.949238095238096,0.0,309.27369633067013,17337.868330078127
local_only,42,iid,7.081904761904762,5.846666666666667,0.0,309.27369633067013,17337.868330078127
local_only,42,noniid,7.1347327502429545,5.993197278911566,0.0,309.27369633067013,17337.868330078127
local_only,99,all,7.015619047619047,5.8420000000000005,0.0,309.2119061135001,17536.385908203127
local_only,99,iid,7.091428571428572,5.859999999999999,0.0,309.2119061135001,17536.385908203127
local_only,99,noniid,6.98312925170068,5.8342857142857145,0.0,309.2119061135001,17536.385908203127
dual_lora,42,all,7.398244897959183,6.348285714285714,35.19283200000006,789.5505549231304,17630.93962402344
dual_lora,42,iid,7.312380952380952,6.286666666666666,35.19283200000006,789.5505549231304,17630.93962402344
dual_lora,42,noniid,7.435043731778426,6.37469387755102,35.19283200000006,789.5505549231304,17630.93962402344
dual_lora,99,all,7.220761904761905,6.162000000000001,35.19283200000006,796.3781244200316,17837.257607421874
dual_lora,99,iid,7.27904761904762,6.133333333333333,35.19283200000006,796.3781244200316,17837.257607421874
dual_lora,99,noniid,7.195782312925171,6.174285714285714,35.19283200000006,796.3781244200316,17837.257607421874
dual_lora_half,42,all,7.2861768707482995,6.1593333333333335,35.19283200000006,404.2962546915817,17431.637216796877
dual_lora_half,42,iid,7.271428571428572,6.093333333333334,35.19283200000006,404.2962546915817,17431.637216796877
dual_lora_half,42,noniid,7.292497570456755,6.187619047619047,35.19283200000006,404.2962546915817,17431.637216796877
dual_lora_half,99,all,7.144857142857143,5.994,35.19283200000006,396.3610673923138,17180.834892578125
dual_lora_half,99,iid,7.32952380952381,6.12,35.19283200000006,396.3610673923138,17180.834892578125
dual_lora_half,99,noniid,7.065714285714285,5.9399999999999995,35.19283200000006,396.3610673923138,17180.834892578125
ha_duallora,42,all,7.3517551020408165,6.342095238095238,35.19283200000006,790.0279714029684,17628.92804199219
ha_duallora,42,iid,7.195238095238096,6.06,35.19283200000006,790.0279714029684,17628.92804199219
ha_duallora,42,noniid,7.418833819241982,6.462993197278912,35.19283200000006,790.0279714029684,17628.92804199219
ha_duallora,99,all,7.293238095238095,6.208,35.19283200000006,788.4524427896794,17837.882954101562
ha_duallora,99,iid,7.292380952380952,6.146666666666667,35.19283200000006,788.4524427896794,17837.882954101562
ha_duallora,99,noniid,7.29360544217687,6.234285714285716,35.19283200000006,788.4524427896794,17837.882954101562
ha_duallora_half,42,all,7.270843537414964,6.184285714285714,35.19283200000006,392.8981091071432,17429.764951171874
ha_duallora_half,42,iid,7.159047619047619,6.0,35.19283200000006,392.8981091071432,17429.764951171874
ha_duallora_half,42,noniid,7.318756073858116,6.263265306122449,35.19283200000006,392.8981091071432,17429.764951171874
ha_duallora_half,99,all,7.142,5.964,35.19283200000006,394.23576458709664,17675.554926757814
ha_duallora_half,99,iid,7.179047619047619,5.94,35.19283200000006,394.23576458709664,17675.554926757814
ha_duallora_half,99,noniid,7.126122448979593,5.974285714285714,35.19283200000006,394.23576458709664,17675.554926757814
selective,42,all,7.21517006802721,6.085428571428571,10.557849599999996,376.20317329137936,17534.914516601562
selective,42,iid,6.994285714285714,5.82,10.557849599999996,376.20317329137936,17534.914516601562
selective,42,noniid,7.309834791059281,6.1991836734693875,10.557849599999996,376.20317329137936,17534.914516601562
selective,99,all,7.209333333333333,6.097333333333333,10.557849599999996,369.0701599191097,17733.752338867187
selective,99,iid,7.088571428571428,5.826666666666667,10.557849599999996,369.0701599191097,17733.752338867187
selective,99,noniid,7.261088435374148,6.213333333333333,10.557849599999996,369.0701599191097,17733.752338867187
ffa_lora,42,all,6.988571428571428,5.762380952380953,19.46419199999997,291.0130058485901,16856.36002441406
ffa_lora,42,iid,7.004761904761904,5.8133333333333335,19.46419199999997,291.0130058485901,16856.36002441406
ffa_lora,42,noniid,6.981632653061224,5.740544217687075,19.46419199999997,291.0130058485901,16856.36002441406
ffa_lora,99,all,6.9756190476190465,5.705333333333334,19.46419199999997,289.1936605953599,17030.42460449219
ffa_lora,99,iid,7.016190476190476,5.8133333333333335,19.46419199999997,289.1936605953599,17030.42460449219
ffa_lora,99,noniid,6.958231292517007,5.6590476190476195,19.46419199999997,289.1936605953599,17030.42460449219
